leaguePosition,team,player,ban1,ban2,ban3,ban4,ban5
lckJG,Afreeca Freecs,Dread,Diana,Lucian,Jayce,Irelia,Kennen
lckJG,Afreeca Freecs,Dread,Lucian,Renekton,Jayce,Kennen,Sylas
lckJG,Afreeca Freecs,Dread,Lucian,Renekton,Jayce,Kennen,Sylas
lckJG,Afreeca Freecs,Dread,Irelia,Lucian,Jayce,Sylas,Camille
lckJG,Afreeca Freecs,Dread,Lucian,Renekton,Trundle,Karma,Kennen
lckJG,Afreeca Freecs,Dread,Irelia,Lucian,Trundle,Gangplank,LeBlanc
lckMID,Afreeca Freecs,Fly,Gnar,Lucian,Nocturne,Gragas,Gwen
lckMID,Afreeca Freecs,Fly,Gnar,Lucian,Nocturne,Gragas,Akali
lckMID,Afreeca Freecs,Fly,Lucian,Nocturne,Akali,Ezreal,Kalista
lckMID,Afreeca Freecs,Fly,Lulu,Nocturne,Lee Sin,Kalista,Kai'Sa
lckMID,Afreeca Freecs,Fly,Lulu,Nocturne,Akali,Thresh,Irelia
lckMID,Afreeca Freecs,Fly,Lucian,Udyr,Renekton,Nocturne,Sylas
lckMID,Afreeca Freecs,Fly,Ezreal,Akali,Lee Sin,Nocturne,Viego
lckMID,Afreeca Freecs,Fly,Sylas,Akali,Lee Sin,Braum,Viego
lckMID,Afreeca Freecs,Fly,Sylas,Akali,Lee Sin,Leona,Viego
lckMID,Afreeca Freecs,Fly,Akali,Lucian,Rumble,Nautilus,Sylas
lckMID,Afreeca Freecs,Fly,Rumble,Lucian,Lee Sin,Olaf,Sylas
lckMID,Afreeca Freecs,Fly,Akali,Sylas,Lee Sin,Azir,Udyr
lckMID,Afreeca Freecs,Fly,Azir,Akali,Nocturne,Gragas,Sett
lckMID,Afreeca Freecs,Fly,Azir,Akali,Nocturne,Gragas,Taric
lckMID,Afreeca Freecs,Fly,Akali,Lucian,Renekton,Azir,LeBlanc
lckMID,Afreeca Freecs,Fly,Akali,Lucian,Leona,Gnar,Nocturne
lckMID,Afreeca Freecs,Fly,Lucian,Akali,Leona,Azir,Orianna
lckMID,Afreeca Freecs,Fly,Lee Sin,Nocturne,Akali,Azir,Lucian
lckMID,Afreeca Freecs,Fly,Ezreal,Akali,Lucian,Leona,Varus
lckMID,Afreeca Freecs,Fly,Ezreal,Lee Sin,Akali,Gwen,Azir
lckMID,Afreeca Freecs,Fly,Thresh,Akali,LeBlanc,Gnar,Leona
lckMID,Afreeca Freecs,Fly,Thresh,Akali,LeBlanc,Gnar,Leona
lckMID,Afreeca Freecs,Fly,Gnar,Lucian,Xin Zhao,LeBlanc,Ryze
lckMID,Afreeca Freecs,Fly,Gnar,Lucian,Xin Zhao,LeBlanc,Azir
lckMID,Afreeca Freecs,Fly,Gnar,Lucian,Akali,Thresh,Braum
lckMID,Afreeca Freecs,Fly,Gnar,Lucian,Xin Zhao,Braum,Lee Sin
lckMID,Afreeca Freecs,Fly,Gnar,Lucian,Varus,Thresh,Ornn
lckMID,Afreeca Freecs,Fly,Viego,Irelia,Jayce,Varus,Kalista
lckMID,Afreeca Freecs,Fly,Lucian,Jayce,Irelia,Olaf,Lee Sin
lckMID,Afreeca Freecs,Fly,Viego,Irelia,Diana,Varus,Neeko
lckMID,Afreeca Freecs,Fly,Aphelios,Kalista,Irelia,Gnar,Ornn
lckMID,Afreeca Freecs,Fly,Kalista,Aphelios,Irelia,Ornn,Gwen
